aquila	akuila
manipolo	ma.ˈni.po.lo
alfiere	alˈfjɛre
giogo	ˈdʒoɡo
fabbricazione	fabbrikaˈtsjone
ottone	otˈtone
galleggiare	ɡalledˈdʒare
mazza	ˈmat.tsa
valete	vaˈle.te
sopravvivere	so.praˈvːi.ve.re
chierico	ˈkjɛriko
soggiacere	soddʒaˈtʃere
bersagliere	bersaʎˈʎɛre
fluire	fluˈire
amiche	a.ˈmi.ke
schiarire	skjaˈriː.re
portaerei	portaˈɛrei
esca	ˈeska
pugnalare	puɲɲaˈlare
disdire	d̪iz.ˈd̪iː.re
tribù	triˈbu
sbarra	ˈzbar.ra
lagrima	la.ˈɡri.ma
messere	meˈsːɛ.re
figliolo	fiʎ.ˈʎɔ.lo
inclito	ˈiŋ.kli.t̪o
bestemmiare	be.st̪emˈmjaː.re
manifestazione	ma.ni.fɛ.sta.ˈtːsjɔ.ne
giudeo	dʒu.ˈdɛ.o
caserma	kaˈzɛrma
giubileo	dʒu.bi.ˈlɛ.o
gattara	ɡat.ˈta.ra
sudore	suˈdore
sughero	ˈsuɡero
strofinare	strofiˈnare
brontolio	bron.toˈli.o
soffiare	sofˈfjare
maremoto	ma.re.ˈmo.to
vinicolo	vi.ˈni.ko.lo
scemo	ˈʃemo
sceme	ˈʃe.me
tenue	ˈt̪ɛnɯɛ
viticolo	vi.ˈti.ko.lo
nebbiolo	nebˈbjɔlo
navicella	naviˈt͡ʃɛlla
pallone	pal.ˈlo.ne
pieve	ˈpjɛ.ve
consorzio	konˈsɔrtsjo
svelto	ˈzvɛlto
segretaria	seɡreˈtaria
canaglia	kaˈnaʎa
collera	ˈkɔllera
feccia	ˈfettʃa
parrucca	paˈrːukːa
scavare	skaˈvare
sedici	ˈseditʃi
sfortuna	sforˈtuna
bizzarro	bid.ˈdzar.ro
corteccia	korˈtettʃa
marcio	ˈmartʃo
mentalità	mentaliˈta
moschea	moˈskɛ.a
chierica	ˈkjɛrika
ortografia	ortoɡraˈfia
elaboratore	elaboraˈtore
rozzo	ˈroddzo
scacchi	ˈskakki
schizzo	ˈskitt͡so
scivolo	ˈʃivolo
specchietto	spɛk.kjɛt.to
speme	ˈspɛ.me
tutore	tu.ˈto.re
ci vediamo	ˈtʃi veˈd̪jaː.mo
assioma	asˈsjɔma
gradiente	ɡraˈdjɛnte
antonimo	anˈtɔ.ni.mo
romeno	roˈmɛː.no
luppolo	ˈluppolo
bocciolo	bot.ˈtʃɔ.lo
mollica	mol.ˈli.ka
branchia	ˈbran.kja
vaniglia	vaˈniʎʎa
doppiaggio	dop.ˈpjad.dʒo
fariseo	fa.ri.ˈzɛ.o
murale	muˈra.le
parrucchiere	pa.rːuˈkːjɛ.re
amarena	amaˈrɛna
agopuntura	aɡopunˈtura
ressa	ˈrɛssa
barometro	ba.ˈro.me.tro
diamagnetico	dja.maɲ.ˈɲɛ.ti.ko
abbordaggio	abborˈdaddʒo
dodecaedro	dodekaˈɛdro
lambrusco	lam.ˈbru.sko
lambrusco	lam.ˈbru.sko
tolda	ˈtolda
donnola	dɔnˈnɔla
cursore	kurˈsore
sbadigliare	zba.diʎˈʎaː.re
sbadiglio	zbaˈdiʎ.ʎo
sbarazzare	zba.rat.ˈtsa.re
sguazzare	sɡwatˈtsare
curiosare	ku.rjo.ˈzaː.re
epicureo	e.pi.ku.ˈrɛ.o
lesto	ˈlɛsto
sfregiare	sfreˈd͡ʒare
ventricolo	ven.ˈtri.ko.lo
tirocinio	ti.roˈtʃi.njo
vessillo	vesˈsillo
susina	suˈzi.na
funicolo	fu.ˈni.ko.lo
babbeo	bab.ˈbɛ.o
enfasi	ˈɛɱ.fa.zi
ebete	ˈɛbete
bagarre	baˈɡar
omofono	oˈmɔfono
culatello	kulaˈtɛllo
moschee	moˈskɛ.e
frattanto	frat'tanto
predominio	predoˈminjo
jacuzzi	jaˈkuttsi
galateo	ɡa.la.ˈtɛ.o
androceo	an.dro.ˈtʃɛ.o
manicheo	ma.ni.ˈkɛ.o
gineceo	dʒi.ne.ˈtʃɛ.o
canicola	kaˈnikola
acaro	ˈakaro
gnocco	ˈɲɔkko
eritreo	e.ri.ˈtrɛ.o
ipogeo	i.po.ˈdʒɛ.o
lucciola	ˈluttʃola
vichingo	viˈkinɡo
apogeo	a.po.ˈdʒɛ.o
misantropo	miˈzantropo
marameo	ma.ra.ˈmɛ.o
calzare	kalˈd͡zare
iracondo	iraˈkondo
cestista	tʃeˈstista
sillabazione	sillabaˈtsjone
ateneo	a.te.ˈnɛ.o
angelico	an.ˈdʒɛ.li.ko
tallone	t̪alˈlone
torchio	ˈtɔrkjo
adiposità	a.di.po.zi.ˈta
acquaiolo	ak.kwa.ˈjɔ.lo
dolo	ˈdɔ.lo
fascicolo	faʃ.ˈʃi.ko.lo
ciliege	tʃ͡iˈljɛː.dʒ͡e
collerico	kolˈlɛriko
negligente	negliˈdʒɛnte
barberia	bar.beˈri.a
barcaiolo	bar.ka.ˈjɔ.lo
recedere	reˈtʃɛdere
rione	riˈone
righello	riˈɡɛllo
foschia	foˈskia
montone	monˈtone
agonie	aɡoˈnie
plebeo	ple.ˈbɛ.o
uggia	ˈuddʒa
sgabello	zɡaˈbɛl.̚lo
cunicolo	ku.ˈni.ko.lo
sferza	ˈsfɛrza
guizzo	ˈɡwittso
uditorio	udiˈtɔrjo
rozzezza	rodˈdzettsa
bidonville	bi.dɔn.vil
menisco	meˈnisko
botolo	ˈbɔtolo
esponenziale	esponenˈtsjale
archivista	ar.kiˈvi.sta
armaiolo	ar.ma.ˈjɔ.lo
boscaiolo	bo.ska.ˈjɔ.lo
giaggiolo	dʒadˈdʒɔlo
campanilismo	kam.pa.niˈliz.mo
teleologia	te.le.o.loˈdʒi.a
teleologie	te.le.o.loˈdʒi.e
chiazza	ˈkjattsa
ciano	ˈtʃi.a.no
emulatore	e.mu.laˈto.re
emulatrice	e.mu.la.tri.t͡ʃe
selce	sel.t͡ʃe
perigeo	pe.ri.ˈdʒɛ.o
sgelare	zdʒe.ˈlaː.re
niccolò	nik.koˈlo
sleale	zleˈaː.le
filisteo	fi.li.ˈstɛ.o
stambecco	stamˈbekko
sottoinsieme	sot.to.in.ˈsjɛ.me
bagnolo	baɲ.ˈɲɔ.lo
scaleo	ska.ˈlɛ.o
invariante	in.vaˈrjan.t̪e
cenciaiolo	tʃen.tʃa.ˈjɔ.lo
cenciaioli	tʃen.tʃa.ˈjɔ.li
chiarificazione	kjarifikaˈt͡sjone
circumnavigazione	t͡ʃir.kum.na.vi.ɡa.ˈtsjo.ne
sdrucciola	ˈzdruttʃola
consorziale	kon.sorˈtsja.le
slealtà	zle.alˈt̪a
fati	ˈfaː.ti
festaiolo	fe.sta.ˈjɔ.lo
portogallo	por.t̪oˈɡal.̚lo
rais	raˈis
recedé	retʃeˈde
moschetto	mo.ˈsket.to
risicolo	ri.ˈsi.ko.lo
passe-partout	pasparˈtu
peritoneo	pe.ri.to.ˈnɛ.o
cubicolo	ku.ˈbi.ko.lo
sbobba	ˈsbɔbba
stuolo	ˈstwɔ.lo
berna	ˈberna
avicolo	a.ˈvi.ko.lo
visore	vi.ˈzo.re
eufemisticamente	eu.fe.mi.sti.ka.ˈmen.te
ussaro	ˈussaro
esistenzialismo	e.zi.sten.tsja.ˈli.smo
esistenzialismi	e.zi.sten.tsja.ˈli.smi
piagnisteo	pjaɲ.ɲi.ˈstɛ.o
rucola	ˈrukola
rogito	ˈrɔdʒito
rabberciatura	rabbertʃaˈtura
randello	ranˈdɛllo
sturalavandini	sturalavanˈdini
corifeo	ko.ri.ˈfɛ.o
come ti chiami	ˈkoː.me t̪i ˈkjaː.mi
mi chiamo	ˈmi ˈkjaː.mo
passepartout	pasparˈtu
polireme	po.li.ˈrɛ.me
fibrato	fiˈbrato
putrella	puˈtrɛlla
scautismo	skauˈtizmo
tugurio	tuˈɡurio
magnare	maɲˈɲare
che ora è	ke ˈoː.ra ɛ
che ore sono	ke ˈoː.re ˈsoː.no
eppur si muove	epˈpur si ˈmwɔː.ve
mi manchi	mi ˈmaŋ.ki
indoeuropeo	in.do.eu.ro.ˈpɛ.o
dattilo	ˈdattilo
spondeo	spon.ˈdɛ.o
simplettico	simˈplɛttiko
diffeomorfismo	diffeomorˈfizmo
automorfismo	automorˈfizmo
brachistocrona	brakiˈstɔkrona
emisimmetrico	emisimˈmɛtriko
antisimmetrico	antisimˈmɛtriko
diagonalizzazione	diaɡonaliddzaˈtsjone
culatta	kuˈlatta
epicicloide	epitʃiˈklɔide
sequente	seˈkwɛnte
coomologia	koomoloˈdʒia
compattificazione	kompattifikaˈtsjone
laplaciano	laplaˈtʃano
rettificabile	rettifiˈkabile
jacobiano	jakoˈbjano
omologia	omoloˈdʒia
convoluzione	konvoluˈtsjone
paraconsistente	parakonsiˈstɛnte
funtore	funˈtore
olomorfo	oloˈmɔrfo
sirima	ˈsiː.ri.ma
sirma	ˈsir.ma
valligiano	va.lːi.ˈd͡ʒa.no
flussione	flusˈsjone
tifoideo	ti.foi.ˈdɛ.o
uditore	u.di.ˈto.re
caduceo	ka.du.ˈtʃɛ.o
imeneo	i.me.ˈnɛ.o
granicolo	ɡra.ˈni.ko.lo
antonimia	an.to.niˈmi.a
pantografo	panˈtɔɡrafo
gheiscia	ˈɡɛiʃʃa
barolo	ba.ˈrɔ.lo
lupo di mare	ˌlu.po di ˈma.ɾe
sternocleidomastoideo	ster.no.klei.do.ma.stoi.ˈdɛ.o
controaliseo	kon.tro.a.li.ˈzɛ.o
aliseo	a.li.ˈzɛ.o
duolo	ˈdwɔ.lo
stiavo	ˈstjavo
-esa	ˈe.za
prosciutt	prəˈʃut
adusto	a.ˈdus.to
panatenee	pa.na.teˈnɛ.e
pannicolo	pan.ˈni.ko.lo
asclepiadeo	a.skle.pja.ˈdɛ.o
cenciaiola	tʃen.tʃa.ˈjɔ.la
biciclettata	bi.t͡ʃi.kleˈtːa.ta
icore	i.ˈko.re
ubbia	ub.ˈbi.a
quadrigato	kwadriˈɡato
dipsomane	dipˈsɔ.ma.ne
messer	meˈsːɛ.r
pinzimonio	pin.t͡si.ˈmɔː.njo
sinfonietta	sinfoniˈɛtːa
entelechia	en.te.leˈki.a
entelechie	en.te.leˈki.e
more uxorio	ˌmɔ.re.ukˈsɔ.rjo
-aglia	ˈaʎːa
mattonata	mat.to.ˈna.ta
loro	ˈloro
trullo	ˈtrullo
cenciaiole	tʃen.tʃa.ˈjɔ.le
water	ˈvater
etruscheria	e.trus.ke.ˈri.a
violaciocca	vi.o.la.ˈtʃɔk.ka
convalligiano	kon.va.lːi.ˈd͡ʒa.no
muramento	mu.raˈmen.to
